year,country,ccode,ele_rural,ele_total,ele_urban,en_int,ren_ele,ren_con,tot_ele,tfec
1990,San Marino,SMR,100,100,100,,0,0,,0
1990,Sao Tome and Principe,STP,30.66219862,42.75796509,58.37428284,5.712973049,8,605.18,15,1188.28
1990,Saudi Arabia,SAU,,,,4.199749732,0,512.7993,69208,1350016.159
1990,Senegal,SEN,8.878071361,25.13053513,50.65818405,5.042077574,44,24822.53,945,44684.20915
1990,Serbia,SRB,99.72968437,99.27126312,98.81999207,7.231833173,9471,75874.21,40948,489774.7948
1990,Seychelles,SYC,79.39677962,89.54558563,100,2.227833517,0,53.5311,101,1260.0311
1990,Sierra Leone,SLE,3.273315019,7.0815382,14.72592926,9.316257274,0,38107.18,224,41746.5836
1990,Singapore,SGP,,100,100,4.617609834,85,252.436,15714,129564.8384
1990,Sint Maarten (Dutch part),SXM,,100,100,,0,0,0,0
1990,Slovak Republic,SVK,100,100,100,11.82573697,1880,13179.85,25497,592263.3882
1990,Slovenia,SVN,100,100,100,6.395311501,2950,19050.2,12444,154228.2724
1990,Solomon Islands,SLB,,0.01,52.51839828,9.404836752,0,2776.664,57,4705.06424
1990,Somalia,SOM,0.01,0.01,0.01,23.56889372,0,47967.04,262,55006.0444
1990,South Africa,ZAF,35.10768813,59.33794022,81.67119598,10.43881778,1010,326004.7,165385,1960597.76
1990,South Eastern Asia,GSE,,,,,,,,
1990,South Sudan,SSD,0.01,0.01,0.01,,0,0,0,0
1990,Southern Asia,GSA,,,,,,,,
1990,Spain,ESP,100,100,100,4.025774405,26032,241808.9,151206,2293237.974
1990,Sri Lanka,LKA,46.90351242,52.93764114,79.40447998,3.689275152,3145,172399.1,3150,220777.5421
1990,St. Helena,SHN,,,,,0,9.135,5,60.635
1990,St. Kitts and Nevis,KNA,82.08206385,87.54239655,97.85953522,3.688154378,0,633.2122,82.4,1581.7522
1990,St. Lucia,LCA,78.6484145,83.72320557,95.93956757,2.237179723,0,77.3625,104,1414.9625
1990,St. Martin (French part),MAF,,41.97810364,69.96910095,,0,0,,0
1990,St. Vincent and the Grenadines,VCT,56.38427558,66.05391693,79.73568726,2.188982502,24,153.9183,51,996.89482
1990,Sub-Saharan Africa,GSS,,,,,,,,
1990,Sudan,SDN,13.2,32.8,66.1,9.849468699,958,182666.2,1515,249317.0318
1990,Suriname,SUR,100,100,99.64357758,5.106241709,0,0,0,0
1990,Swaziland,SWZ,,0.01,31.70173836,3.650774815,154,13530.19,364,15871.98814
1990,Sweden,SWE,100,100,100,7.471663062,74452,430487,145984,1263833.896
1990,Switzerland,CHE,100,100,100,3.259338974,30236,127292.1,54992,743358.8456
1990,Syrian Arab Republic,SYR,64.62170294,80.54584503,97.16577911,9.612556454,2728,7085.719,11611,300240.1172
1990,"Taiwan, China",TWN,,,,,6384,20688.79,88398,1064710.567
1990,Tajikistan,TJK,95.40686815,96.6034317,99.18652344,11.53969618,16500,58101.08,18146,196037.406
1990,Tanzania,TZA,,2.483708858,20.6004715,11.1793606,1549,346426.6,1628,365487.0828
1990,Thailand,THA,65.99428516,75.89871216,99.65533447,4.666584757,4976,400604.3,44176,1190887.782
1990,Timor-Leste,TLS,,0.01,59.43360519,,0,0,0,0
1990,Togo,TGO,,0.01,17.96252632,10.34434554,95,27894.39,158,35443.31353
1990,Tonga,TON,72.4422977,77.79976654,96.03881836,3.262850534,0,14.28006,24,960.58006
1990,Trinidad and Tobago,TTO,81.17302662,82.70045471,99.07116699,16.91580603,31,744.2863,3577,62386.54384
1990,Tunisia,TUN,71.97002539,87.99334717,99.62218475,4.459171439,46,22049.9,5811,152275.8001
1990,Turkey,TUR,80.86339125,88.78113556,94.2372818,3.831013658,23228,383425.3,57543,1564313.121
1990,Turkmenistan,TKM,98.09115596,98.61314392,99.24919891,23.93786625,700,1450.857,14610,522675.4647
1990,Turks and Caicos Islands,TCA,56.00124042,88.7,99.9854126,,0,4.060205,20,226.560205
1990,Tuvalu,TUV,89.37470589,90.70191956,92.63854218,3.450986422,0,0,2,46.42
1990,Uganda,UGA,,1.266457081,33.47127914,20.87687043,769,255238.5,774,265822.1757
1990,Ukraine,UKR,96.73186916,98.00318909,98.63626862,19.38306309,10514,39110.84,298626,6015914.237
1990,United Arab Emirates,ARE,100,100,100,4.122107259,0,0,17080,656954.1374
1990,United Kingdom,GBR,100,100,100,5.657871281,5811,34713.48,317755,5331234.608
1990,United States,USA,100,100,100,8.666576704,369241,2053170,3202813,49172281.02
1990,Upper middle income,UMC,,,,,,,,
1990,Uruguay,URY,76.24118317,96.29027557,98.77508545,3.07965096,7068,35153.68,7444,78446.18754
1990,Uzbekistan,UZB,97.80228325,98.41362,99.32408142,31.22339268,6648,18392.59,56325,1383167.116
1990,Vanuatu,VUT,,7.006693363,71.24501801,3.127880039,0,212.0773,25,877.87727
1990,"Venezuela, RB",VEN,85.07472999,97.3895874,99.68587494,5.774942291,36983,125532.5,59321,1048084.156
1990,Vietnam,VNM,68.01199509,74.1146698,98.14122009,7.548069803,5369,510559.8,8681,671068.3008
1990,Virgin Islands (U.S.),VIR,100,100,100,,0,0,980,3042
1990,Wallis and Futuna,WLF,,,,,0,0,0,0
