product,rating,rating_no,sales,price
realme C51 (4+128 GB) | 5000mAh with 33W SUPERVOOC charge | Back Camera(s): 50MP (Samsung HM6) |  90Hz Refresh Rate,5/5,(2),,"Rs.14,499"
M Horse Mobile Hot 30 Play 2 Gb 32 Gb,4/5,(1),,"Rs.8,999"
HONOR X7b (16*/256GB) | 6000 mAh Battery | 108MP Camera | 35W wired Charging,5/5,(4),,"Rs.23,999"
"Redmi A3 (4/128 GB) | 6.71"" Display | MediaTek Helio G36 processor | 5000mAh Battery | 10W Charging",4.7/5,(3),,"Rs.12,999"
"OnePlus Nord CE 3 Lite 5G | 8GB RAM | 67W SUPERVOOC charge | 5,000 mAh Battery | 1 time screen breakage insurance within 1 year *",4.8/5,(12),44 Sold,"Rs.45,999"
Apple iPhone 15 Pro Max - EvoStore,4.9/5,(10),,"Rs.214,300"
Benco S1 | 6.8 in HD+ IPS LCD Display | 48MP camera l 5000 mAh battery l 18W fast charger,3.3/5,(4),42 Sold,"Rs.15,999"
Infinix SMART 8 (3/64GB) | 6.6 Inch Display | Unisoc T606 (12 nm) Processor | 5000 mAh Battery,5/5,(1),,"Rs.11,499"
Benco V90 (4GB RAM & 128GB ROM) | 6.8″ HD Display | 16MP AI Triple Main Camera | 5000 mAh Battery,2/5,(1),,"Rs.12,599"
"Samsung Galaxy M15 5G (6GB/128GB) | 6.5"" SuperAMOLED 90Hz Display | 50MP+5MP+2MP Main Camera | 6000mAh Huge Battery",,,,"Rs.25,999"
"Redmi Note 13 Pro 4G (8GB/256GB) | 6.67"" AMOLED 120Hz Display | 200MP+8MP+2MP Rear Camera with OIS | 5000mAh Battery",4.5/5,(4),,"Rs.32,999"
ZTE NUBIA Neo 5G || 18*/256GB || 50 MP Camera,5/5,(3),,"Rs.26,990"
"Samsung Galaxy A23 (6GB+128GB) With Selfie Stick, Mobile Cover & Earphone",4.2/5,(15),83 Sold,"Rs.29,999"
"OnePlus NORD N20 SE 4GB RAM 64 GB ROM 33W Charger 5,000mAh Battery  50MP AI Dual Camera Fast and Smooth OxygenOS 12.11",4.4/5,(11),48 Sold,"Rs.21,999"
Infinix Smart 8 || 90Hz Punch Hole Display || 5000 mAh Battery,5/5,(2),,"Rs.11,399"
M-HORSE HOT 30 Play 3/64 Ram Room 5000 mAh Battery,4.3/5,(4),,"Rs.10,300"
"Samsung Galaxy A04 (4GB/64GB) | 50MP Camera | 6.5"" Display | 5000mAh Battery",4.4/5,(7),45 Sold,"Rs.14,999"
"Honor X5 Plus (4/64 GB), 50 MP Camera",4/5,(1),,"Rs.12,990"
"Samsung Galaxy A54 5G (8GB/256B) | 6.4"" sAMOLED 120Hz Display | 50MP Camera with OIS | 5000mAh Battery",4.6/5,(10),47 Sold,"Rs.58,799"
Apple iPhone 15 Pro Max - Oliz Store - Apple iPhone Mobiles,4.9/5,(7),45 Sold,"Rs.214,300"
Vitu S6 Max 7Gb Ram 64Gb Room 4G VOLTE 5250 mAh Battery,5/5,(1),,"Rs.10,500"
"HONOR 90 5G | 12GB RAM , 512GB ROM | 5000MAh Battery with 66W fast Charging",4.4/5,(9),,"Rs.63,990"
"Samsung Galaxy A05 (4GB/64GB) | 50MP+2MP Rear Camera | 6.7"" HD+ Display | 25W Super Fast Charging",3.8/5,(4),,"Rs.14,999"
Infinix Smart 8 Pro (4/128GB) | 6.56 Inch Punch Hole Display | MediaTek Helio G36 Processor | 5000 mAh Battery | 10W Charger,,,,"Rs.13,499"
plus p5 smartphone 4 gb ram 128 gb rom,2/5,(2),,"Rs.10,100"
Infinix Smart 7 Plus (4GB+64GB) || Rear-Mounted Fingerprint || Li-Po 6000 mAh Battery,3.8/5,(4),33 Sold,"Rs.12,899"
Foneme  Model Flip Keypad Mobile Double Sim,,,,"Rs.3,750"
Tecno Spark 20 || 8/256 GB || 5000 mAh Battery,4/5,(1),,"Rs.17,890"
"Motorola Moto E13 2Gb Ram , 64Gb Storage , 5000Mah Battery |  6.5 Inch Ips  Display",4.4/5,(8),,"Rs.11,999"
"Samsung Galaxy A04s (4GB+128GB) With Protective Cover, Earphones & Ring Stent",4.6/5,(9),,"Rs.18,099"
"Samsung Galaxy A25 5G (8GB/256GB) | 6.5"" SuperAMOLED 120Hz Display | 50MP+8MP+2MP Rear Camera | 5000mAh Battery",4.5/5,(2),,"Rs.42,499"
Infinix Smart 8 Pro || 50 MP Camera || 5000 mAh Battery,4.8/5,(5),30 Sold,"Rs.12,899"
"Redmi Note 12 5G (6/128 GB) | 6.67"" AMOLED DotDisplay | 120Hz Refresh Rate | 5000 mAh Battery | 33W fast charging",4/5,(9),,"Rs.29,999"
"Tecno Pova 6 (24*/256 GB) | 6.78"" FHD + AMOLED Display | 120Hz Refresh Rate | 100 Days Replacement Warranty | G99 Ultimate Processor | 108MP Ultra Sensing Main Camera | 6000mAh Battery | 70 Ultra Charge",,,,"Rs.34,990"
"Redmi 13C (8/256GB) ll 6.74"" 90 Hz Display ll MediaTek Helio G85 Processor ll 5000mAh Battery ll 50MP camera",5/5,(1),,"Rs.18,999"
